"STATION","NAME","DATE","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-24","65","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-25","64","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-26","77","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-27","65","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-28","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-29","68","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-30","66","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-01","65","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-02","65","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-03","67","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-04","63","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-05","62","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-06","59","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-07","61","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-08","64","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-09","63","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-10","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-11","62","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-12","62","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-13","65","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-14","63","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-15","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-16","62","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-17","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-18","73","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-19","78","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-20","79","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-21","92","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-22","81","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-23","88","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-24","75","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-25","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-26","64","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-27","68","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-28","68","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-29","63","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-30","65","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-05-31","74","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-01","77","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-02","65","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-03","62","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-04","63","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-05","68","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-06","66","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-07","69","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-08","62","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-09","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-10","65","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-11","67","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-12","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-13","92","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-14","105","67"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-15","79","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-16","75","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-17","76","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-18","73","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-19","72","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-20","72","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-21","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-22","67","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-23","69","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-24","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-25","69","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-26","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-27","69","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-28","67","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-29","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-06-30","64","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-01","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-02","60","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-03","61","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-04","69","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-05","63","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-06","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-07","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-08","69","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-09","71","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-10","73","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-11","72","56"
