"STATION","NAME","DATE","TMAX","TMIN"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-21","68","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-22","67","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-23","69","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-24","76","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-25","79","57"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-26","89","59"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-27","77","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-28","68","58"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-29","75","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-04-30","83","57"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-01","85","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-02","78","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-03","77","59"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-04","74","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-05","70","61"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-06","72","58"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-07","72","57"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-08","75","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-09","73","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-10","70","58"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-11","77","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-12","84","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-13","81","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-14","72","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-15","73","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-16","68","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-17","71","56"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-18","77","57"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-19","83","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-20","86","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-21","82","61"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-22","76","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-23","71","61"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-24","70","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-25","70","59"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-26","74","59"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-27","88","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-28","84","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-29","78","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-30","75","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-31","76","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-01","78","62"
